phenotype,ICD10_control_exclude,ICD10_case_include,ICD9_control_exclude,ICD9_case_include
Gout, M110 | M111 | M112 | M118 | M119 | M679 | M118 | M11049 | M11831 | M11052 | M1107 | M1186 | M1181 | M11842 | M11849 | M1101 | M1185 | M1183 | M11852 | M11019 | M11819 | M1108 | M1105 | M11061 | M11011 | M11821 | M11069 | M11839 | M11862 | M11042 | M11812 | M1187 | M119 | M11829 | M11861 | M11879 | M11031 | M1182 | M11021 | M11051 | M1103 | M11022 | M11039 | M1104 | M1102 | M11029 | M11832 | M11041 | M11822 | M1109 | M11859 | M11811 | M11032 | M11871 | M11872 | M1106 | M11851 | M1100 | M11071 | M11079 | M1180 | M1188 | M11841 | M1189 | M11012 | M11072 | M11059 | M1184 | M11869 | M11062 | M11139 | M1117 | M11232 | M11149 | M11272 | M1129 | M11141 | M111 | M11171 | M11251 | M1118 | M11212 | M1128 | M11142 | M11269 | M11112 | M1121 | M11131 | M1113 | M11129 | M1126 | M11231 | M1111 | M11179 | M112 | M11152 | M1122 | M11279 | M1124 | M11259 | M11229 | M11161 | M11159 | M11211 | M11261 | M1123 | M11169 | M11132 | M11221 | M11122 | M1119 | M11242 | M11271 | M1112 | M11239 | M1110 | M1127 | M11219 | M1114 | M11241 | M11252 | M1116 | M1115 | M1120 | M11121 | M11249 | M11119 | M11162 | M11222 | M1125 | M11172 | M11262 | M11151 | M11111 , M10 | M100 | M101 | M102 | M104 | M109 | M1043 | M10472 | M1A9XX1 | M10461 | M10462 | M10449 | M10441 | M1040 | M10421 | M10 | M1042 | M10451 | M1A9 | M10411 | M10431 | M10459 | M10452 | M10422 | M10469 | M10429 | M1048 | M10471 | M10479 | M10412 | M1045 | M1047 | M10439 | M10442 | M10419 | M104 | M10432 | M1044 | M1049 | M1A9XX0 | M1046 | M109 | M1041 | M1A39 | M100 | M1A4291 | M1A4290 | M1A38X0 | M10139 | M1A3121 | M10049 | M1038 | M1A2611 | M1A042 | M1A029 | M1A2210 | M10041 | M10219 | M1A4511 | M1A451 | M1A212 | M1A3 | M1A221 | M1A379 | M1010 | M1A469 | M10311 | M10312 | M1A0490 | M1A4721 | M1A20X0 | M1A342 | M1A3791 | M1A412 | M1026 | M1037 | M1A0121 | M1A4790 | M1A28X0 | M1A3120 | M1A0221 | M1A039 | M1A30 | M1025 | M1A3591 | M1028 | M1A3621 | M10339 | M1A041 | M1A28 | M10052 | M10169 | M1A3310 | M1A352 | M1A271 | M1A00X1 | M1A022 | M1A29X1 | M1A0220 | M10332 | M1A49X0 | M10261 | M1A2391 | M1A4520 | M1A339 | M1A459 | M1A4610 | M1006 | M1A0791 | M1A3410 | M1A011 | M1A2490 | M10051 | M10162 | M1A079 | M1A361 | M1002 | M1A3711 | M1A3390 | M10361 | M1A461 | M10119 | M1A3411 | M1A2410 | M1A0610 | M1A429 | M1A4111 | M1A4690 | M1A38X1 | M10352 | M1A3620 | M10079 | M1A31 | M1A2720 | M1008 | M1A2120 | M1A219 | M1A2190 | M1A09 | M1A4791 | M1A0311 | M1A41 | M10141 | M1A319 | M1A3520 | M1033 | M1A20 | M1A42 | M1A2621 | M1A37 | M10269 | M1A0391 | M1A411 | M1A4211 | M1A2 | M1A4390 | M1A23 | M1A0410 | M10319 | M10372 | M1A27 | M1A4490 | M1A2690 | M1009 | M1035 | M1A331 | M1A2191 | M1A071 | M10112 | M1A222 | M1A49 | M10242 | M10122 | M1A3710 | M1A0691 | M1A4421 | M1A069 | M1A21 | M1000 | M1A0290 | M1A4491 | M1A259 | M1A0711 | M10179 | M1A2790 | M1A43 | M1A30X1 | M1A269 | M10129 | M1A231 | M1A4121 | M1A22 | M1A0611 | M1A04 | M1A341 | M1A3691 | M10232 | M1A0420 | M1A29X0 | M1A0411 | M1A33 | M1A2390 | M1A439 | M1A419 | M102 | M10342 | M1A03 | M10019 | M1A3420 | M1A47 | M1A02 | M10021 | M1A4411 | M1036 | M1A2311 | M10331 | M1A46 | M1A4311 | M10359 | M1A08X1 | M10159 | M1A08 | M1A2111 | M1A4621 | M1A4191 | M10239 | M1A0710 | M10151 | M1A0190 | M1A3421 | M1A40X1 | M10349 | M1023 | M1A311 | M10241 | M1A49X1 | M1A2211 | M1A3291 | M1A2420 | M10149 | M1A40X0 | M1A3210 | M1A0520 | M10011 | M1A48 | M1A2221 | M1A312 | M1A431 | M1A442 | M1A4320 | M10351 | M1A3391 | M1A422 | M1A4611 | M10222 | M1A39X0 | M1A2591 | M1A3610 | M1A449 | M1A321 | M10272 | M1A2291 | M10329 | M1A3721 | M1A06 | M10321 | M1A24 | M1A00X0 | M1A4321 | M1A26 | M1021 | M1A0790 | M1029 | M1019 | M1A0421 | M10031 | M1A0621 | M10131 | M10259 | M1A452 | M1018 | M1A2710 | M1A2321 | M1A39X1 | M1A3191 | M1A3321 | M1A349 | M1A332 | M1A4691 | M10069 | M1A4190 | M10032 | M1A36 | M1A3511 | M10012 | M1A2491 | M1A2110 | M1A019 | M1A2511 | M1A2310 | M1A021 | M1A232 | M10132 | M1A0591 | M1A211 | M1A0720 | M1A359 | M1A2610 | M1A0390 | M1A261 | M1A0210 | M1A48X0 | M1A4221 | M1A4410 | M1A0321 | M1030 | M1A2290 | M1A052 | M1A049 | M1A249 | M10279 | M1A3590 | M1A4310 | M1A28X1 | M10322 | M1A2520 | M1A362 | M1001 | M1A2121 | M1017 | M1A4110 | M1A2421 | M10172 | M1A0120 | M1A369 | M10029 | M1A4591 | M1A4711 | M10171 | M1A09X0 | M1A432 | M1A35 | M1A32 | M1A4120 | M1032 | M1007 | M1A2691 | M10362 | M1A279 | M1A2521 | M10231 | M10059 | M1A4391 | M1A2711 | M1A4510 | M10341 | M1A3690 | M1A2220 | M1A239 | M1A322 | M10042 | M1A0191 | M10211 | M1022 | M1A25 | M1A08X0 | M1A0721 | M1039 | M1A3611 | M1A0310 | M1A012 | M10212 | M1A3510 | M1A4710 | M1A061 | M1027 | M1A262 | M1A2510 | M1003 | M10022 | M1012 | M1A2320 | M1A479 | M10271 | M1004 | M1A3490 | M1024 | M1005 | M10221 | M1A251 | M1A272 | M1A329 | M1A3521 | M1A372 | M1A0291 | M1A062 | M1A2791 | M1A09X1 | M10062 | M1A3311 | M10229 | M1A0690 | M1A2620 | M1A4220 | M1A051 | M10039 | M1A072 | M1A4620 | M1A3110 | M1014 | M1A3190 | M1A29 | M101 | M1A3290 | M1A4420 | M1A0 | M1A07 | M10251 | M1A34 | M10369 | M1A40 | M10249 | M1A05 | M1A0510 | M1A38 | M1031 | M10071 | M1034 | M1A471 | M10371 | M1A2721 | M1A3320 | M1A2411 | M1A20X1 | M1A0521 | M1A421 | M1A0110 | M1A3221 | M1A01 | M1A3790 | M1A0511 | M10379 | M1A0211 | M10161 | M1A252 | M1A45 | M1A3720 | M10252 | M1A441 | M1A241 | M1A4720 | M1A462 | M10142 | M10072 | M1011 | M1A3111 | M1020 | M1A4590 | M1013 | M1A4210 | M1A44 | M1A30X0 | M1015 | M1A242 | M1A059 | M1A3220 | M1A0590 | M1A0620 | M1A3211 | M1A472 | M1A48X1 | M10152 | M10061 | M1016 | M10121 | M1A0111 | M1A229 | M1A0320 | M1A032 | M1A4521 | M10111 | M1A2590 | M1A3491 | M1A0491 | M1A4 | M1A351 | M1A | M1A031 | M1A00 | M1A371 | M10262 , 712 | 7121 | 71210 | 71211 | 71212 | 71213 | 71214 | 71215 | 71216 | 71217 | 71218 | 71219 | 7122 | 71220 | 71221 | 71222 | 71223 | 71224 | 71225 | 71226 | 71227 | 71228 | 71229 | 7123 | 71230 | 71231 | 71232 | 71233 | 71234 | 71235 | 71236 | 71237 | 71238 | 71239 | 7128 | 71280 | 71281 | 71282 | 71283 | 71284 | 71285 | 71286 | 71287 | 71288 | 71289 | 7129 | 71290 | 71291 | 71292 | 71293 | 71294 | 71295 | 71296 | 71297 | 71298 | 71299 , 274 | 2740 | 27400 | 27401 | 27402 | 27403 | 2741 | 27410 | 27411 | 27419 | 2748 | 27481 | 27482 | 27489 | 2749 
Graves disease,"", E050 | E0500 | E0501 ,"", 2420 | 24200 | 24201 
Haemochromatosis,"", E831 ,"",""
Heart Failure (HF), I500 | I970 | R098 | R943 | T863 | Z941 | Z943 | R0989 | R00 | I509 | I0981 | I9779 | I97110 | I97191 | I9771 | I97130 | I97111 | I97131 | I97791 | I9789 | I97190 | I97121 | I9788 | I97120 | I97790 | I97711 | I97710 | I977 | R9430 | R9439 | R943 | I503 | I5030 | I5031 | I5033 | I5032 | I25812 | I970 | I25769 | I25760 | Z95818 | T8623 | T8639 | Z943 | I25761 | I25811 | T862 | I25750 | T863 | T8632 | T8620 | T8630 | T8622 | T86298 | Z941 | T8631 | I25768 | I25758 | Z95812 | Z95811 | T8621 | T8629 | I25751 | T8633 | T86290 | I25759 | I5020 | I5040 | I5041 | I5023 | I5042 | I5021 | I5022 | I504 | I5043 | I502 , I50 | I501 | I509 | I5082 | I5081 | I508 | I5084 | I50810 | I50812 | I5083 | I5089 | I50814 | I50 | I50811 | I501 | I50813 , 39891 | 41406 | 41407 | 428 | 4280 | 42800 | 4282 | 42820 | 42821 | 42822 | 42823 | 4283 | 42830 | 42831 | 42832 | 42833 | 4284 | 42840 | 42841 | 42842 | 42843 | 4294 | 42981 | 42982 | 785 | 7859 | 7943 | 79430 | 79439 | 99683 | 9971 | V151 | V421 | V432 | V4321 | V4322 , 4281 | 4289 
Hepatocellular Carcinoma, C221 | C24 | C240 | C241 | C248 | C249 , C220 | C222 | C227 | C228 | C229 , 1551 | 156 | 1561 | 1562 | 1568 | 1569 , 1550 | 1552 
Hypertension,"", I10 ,"", 4010 | 4011 | 4019 | I10 
Hypertensive heart disease,"", I119 | I11 | I110 ,"", 402 | 4020 | 4021 | 4029 
Hypothyroidism, E032 | E033 | E890 , E038 | E039 , 2440 | 2441 | 2443 , 2448 | 2449 
Idiopathic pulmonary fibrosis (IPF), B221 | J182 | J60 | J61 | J62 | J620 | J628 | J63 | J630 | J631 | J632 | J633 | J634 | J635 | J638 | J64 | J65 | J66 | J660 | J661 | J662 | J668 | J67 | J670 | J671 | J672 | J673 | J674 | J675 | J676 | J677 | J678 | J679 | J68 | J680 | J681 | J682 | J683 | J684 | J688 | J689 | J690 | J691 | J698 | J70 | J700 | J701 | J702 | J703 | J704 | J708 | J709 | J80 | J81 | J82 | J840 | J849 | J86 | J860 | J869 | J90 | J91 | J92 | J920 | J929 | J93 | J930 | J931 | J938 | J939 | J94 | J940 | J941 | J942 | J948 | J949 | J951 | J952 | J953 | J960 | J961 | J969 | J981 | J982 | J983 | R091 | R092 | Z991 | Z991 | Z9911 | Z9912 | Z9981 | J95850 | J86 | J9312 | J860 | J931 | J9381 | J869 | J9581 | J9311 | J9382 | J938 | J95812 | J95811 | J9383 | J930 | J93 | J939 | J690 | J811 | J182 | J953 | J95822 | J952 | J95821 | J9582 | J951 | J810 | J82 | D57811 | D57211 | D57411 | D5701 | J982 | J981 | J9811 | J983 | J9819 | R091 | J918 | J92 | J948 | J94 | J920 | J942 | J949 | J940 | J90 | J941 | J929 | J969 | R0603 | J80 | J700 | J683 | J704 | J691 | J688 | J702 | J680 | J705 | J689 | J684 | J698 | J703 | J708 | J68 | J701 | J681 | J70 | J682 | J709 | J842 | J84116 | J8411 | J84117 | J84112 | J84114 | J84113 | J84111 | J84115 | J9612 | J9600 | J9620 | J9690 | J9601 | J9610 | J9622 | J962 | J9602 | J961 | J9691 | J9692 | J9611 | J9621 | J960 | R092 | J662 | J660 | J679 | J661 | J678 | J66 | J676 | J67 | J675 | J677 | J671 | J674 | J673 | J672 | J670 | J668 | J636 | J64 | J61 | J634 | J60 | J628 | J63 | J630 | J631 | J62 | J635 | J620 | J633 | J65 | J632 | J848 | J8481 | J8409 | J84841 | J8402 | J8482 | J8483 | J84843 | J840 | J84848 | J8401 | J8403 | J849 | J84842 , J841 | J848 | J8489 | J8417 | J841 | J8410 , 495 | 4950 | 4951 | 4952 | 4953 | 4954 | 4955 | 4956 | 4957 | 4958 | 4959 | 500 | 5000 | 501 | 5010 | 502 | 503 | 504 | 505 | 506 | 5060 | 5061 | 5062 | 5063 | 5064 | 5069 | 507 | 5070 | 5071 | 5078 | 508 | 5080 | 5081 | 5082 | 5088 | 5089 | 510 | 5100 | 5109 | 511 | 5110 | 5111 | 5118 | 51189 | 5119 | 512 | 5120 | 5121 | 5122 | 5128 | 51281 | 51282 | 51283 | 51284 | 51289 | 514 | 5140 | 516 | 5160 | 5161 | 5162 | 5163 | 51630 | 51631 | 51632 | 51633 | 51634 | 51635 | 51636 | 51637 | 5164 | 5165 | 51661 | 51662 | 51663 | 51664 | 51669 | 5168 | 5169 | 5173 | 5180 | 5181 | 5182 | 5183 | 5184 | 5185 | 51851 | 51852 | 51853 | 51881 | 51882 | 51883 | 51884 | 7991 | V461 | V4611 | V4612 | V4613 | V4614 | V462 , 515 | 5150 
Immune thrombocytopenia,"", D693 ,"",""
Inflammatory bowel disease,"", K50 | K500 | K501 | K508 | K509 | K51 | K510 | K511 | K512 | K513 | K515 | K518 | K519 | K52 | K528 | K529 ,"", 5641 | 5695 | 555 | 5550 | 5551 | 5552 | 5559 | 556 | 5569 | 558 | 5589 
"Inguinal, femoral, and abdominal hernia","", K40 | K400 | K401 | K402 | K403 | K404 | K409 | K41 | K410 | K411 | K412 | K413 | K414 | K419 | K42 | K420 | K421 | K429 | K44 | K440 | K441 | K449 | K45 | K450 | K451 | K458 | K46 | K460 | K461 | K469 ,"", 550 | 5500 | 5501 | 5509 | 551 | 5510 | 5511 | 5513 | 5518 | 5519 | 552 | 5520 | 5521 | 5523 | 5528 | 5529 | 553 | 5530 | 5531 | 5533 | 5538 | 5539 
Interstitial lung disease and pulmonary sarcoidosis,"", D869 | D86 | D860 | D861 | D862 | J84 | J840 | J841 | J848 | J849 ,"", 515 | 135 | 1359 | 5159 | 516 | 5160 | 5161 | 5162 | 5163 | 5168 | 5169 
Iodine deficiency,"", E00 | E000 | E001 | E002 | E009 | E01 | E010 | E011 | E012 | E018 | E02 ,"", 2442 
Kabuki Syndrome,"", Q870 ,"",""
Kidney cancer,"", Z8051 | C64 | C65 ,"", 20924 | 189 | 1890 | 1891 
Kleefstra Syndrome,"", Q878 ,"",""
Larynx cancer,"", Z8521 | C32 | C320 | C321 | C322 | C323 | C328 | C329 ,"", V1021 | 161 | 1610 | 1611 | 1612 | 1613 | 1618 | 1619 
Leukemia,"", Z806 | Z856 | C91 | C910 | C911 | C912 | C913 | C914 | C915 | C916 | C917 | C918 | C919 | C92 | C920 | C921 | C922 | C923 | C924 | C925 | C926 | C927 | C928 | C929 | C93 | C930 | C931 | C932 | C933 | C937 | C939 | C94 | C940 | C941 | C942 | C943 | C944 | C945 | C946 | C947 | C95 | C950 | C951 | C952 | C957 | C959 ,"", V166 | 204 | 2040 | 2041 | 2042 | 2048 | 2049 | 205 | 2050 | 2051 | 2052 | 2053 | 2058 | 2059 | 206 | 2060 | 2061 | 2062 | 2068 | 2069 | 207 | 2070 | 2071 | 2072 | 2078 | 208 | 2080 | 2081 | 2082 | 2088 | 2089 | V106 
Liver cancer,"", Z8505 | C22 | C220 | C221 | C222 | C223 | C224 | C227 | C229 ,"", V1007 | 155 | 1550 | 1551 | 1552 
Liver fibrosis / cirrhosis,"", K74 ,"",""
Long QT syndrome,"", I4581 ,"",""
Lymphocytic thyroiditis,"", E063 ,"", 2452 
Male infertility,"", N46 ,"", 606 
Maternal hemorrhage,"", O622 | O20 | O200 | O208 | O209 | O432 | O44 | O440 | O441 | O45 | O450 | O458 | O459 | O46 | O460 | O468 | O469 | O67 | O670 | O678 | O679 | O72 | O720 | O721 | O722 | O723 ,"", 640 | 6400 | 6408 | 6409 | 641 | 6410 | 6411 | 6412 | 6413 | 6418 | 6419 | 6612 | 666 | 6660 | 6661 | 6662 | 6663 
Maternal hypertensive disorders,"", O10 | O100 | O101 | O102 | O103 | O104 | O109 | O11 | O12 | O120 | O121 | O122 | O13 | O14 | O140 | O141 | O142 | O149 | O15 | O150 | O151 | O152 | O159 | O16 ,"", 642 | 6420 | 6421 | 6422 | 6423 | 6424 | 6425 | 6426 | 6427 | 6429 
MODY diabetes,"", E139 ,"",""
Multiple myeloma,"", C88 | C880 | C881 | C882 | C883 | C884 | C887 | C889 | C90 | C900 | C901 | C902 | C903 ,"", 203 | 2030 | 2031 | 2038 
Multiple Sclerosis,"", G35 ,"", 340 
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS),"", G933 ,"",""
Myocarditis,"", D8685 | B332 | I40 | I400 | I401 | I408 | I409 | I41 | I410 | I411 | I412 | I418 | I514 | I515 | I516 ,"", 0742 | 07423 | 422 | 4220 | 4229 | 4290 | 4291 
Narcolepsy type 1,"", G474 ,"",""
Non-functioning pituitary adenoma,"", D352 ,"",""
Non-Hodgkin lymphoma,"", C82 | C820 | C821 | C822 | C823 | C824 | C825 | C826 | C827 | C829 | C83 | C830 | C831 | C832 | C833 | C834 | C835 | C836 | C837 | C838 | C839 | C84 | C840 | C841 | C842 | C843 | C844 | C845 | C846 | C847 | C848 | C849 | C85 | C850 | C851 | C852 | C857 | C859 | C86 | C860 | C861 | C862 | C863 | C864 | C865 | C866 | C96 | C960 | C961 | C962 | C963 | C964 | C965 | C966 | C967 | C968 | C969 ,"", 200 | 2000 | 2001 | 2002 | 2008 | 202 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026 | 2028 | 2029 
Non-papillary transitional cell carcinoma of the bladder,"", C672 | C673 | C674 | C675 | C676 | C677 | C678 | C679 | C671 | C670 ,"",""
Non-rheumatic valvular heart disease,"", I34 | I340 | I341 | I342 | I348 | I349 | I35 | I350 | I351 | I352 | I358 | I359 | I36 | I360 | I361 | I362 | I368 | I369 | I37 | I370 | I371 | I372 | I378 | I379 ,"", 4240 | 4241 | 4242 | 4243 
Opioid use disorder,"", F1110 | F1111 | F11120 | F11121 | F11122 | F11129 | F1114 | F11150 | F11151 | F11159 | F11181 | F11182 | F11188 | F1119 | F1120 | F1121 | F11220 | F11221 | F11222 | F11229 | F1123 | F1124 | F11250 | F11251 | F11259 | F11281 | F11282 | F11288 | F1129 ,"", 30400 | 30401 | 30402 | 30403 | 30470 | 30471 | 30472 | 30473 | 30550 | 30551 | 30552 | 30553 
Osteochondritis dissecans,"", M932 ,"",""
Ovarian cancer,"", C569 | Z8041 | Z8543 | C56 ,"", V1043 | V1641 | 183 | 1830 | 1838 | 1839 
Pancreatitis,"", K85 | K850 | K851 | K852 | K853 | K858 | K859 | K86 | K860 | K861 | K862 | K863 | K868 | K869 ,"", 577 | 5770 | 5771 | 5772 | 5778 | 5779 
Parkinson's disease,"", F023 | G20 ,"", 332 | 3320 
Peptic ulcer disease,"", K25 | K250 | K251 | K252 | K253 | K254 | K255 | K256 | K257 | K259 | K26 | K260 | K261 | K262 | K263 | K264 | K265 | K266 | K267 | K269 | K27 | K270 | K271 | K272 | K273 | K274 | K275 | K276 | K277 | K279 | K28 | K280 | K281 | K282 | K283 | K284 | K285 | K286 | K287 | K289 ,"", 531 | 5310 | 5311 | 5312 | 5313 | 5314 | 5315 | 5316 | 5317 | 5319 | 532 | 5320 | 5321 | 5322 | 5323 | 5324 | 5325 | 5326 | 5327 | 5329 | 533 | 5330 | 5331 | 5332 | 5333 | 5334 | 5335 | 5336 | 5337 | 5339 | 534 | 5340 | 5341 | 5342 | 5343 | 5344 | 5345 | 5346 | 5347 | 5349 
Peripheral artery disease,"", I700 | I702 | I703 | I704 | I705 | I706 | I707 | I709 | I739 ,"", 4400 | 4402 | 44021 | 44022 | 44023 | 44024 | 44029 | 4403 | 44031 | 44032 | 4404 | 4408 | 4439 
Placental insufficiency,"", O365 ,"",""
Polycystic ovarian syndrome,"", E282 ,"", 2564 
Polycythemia vera,"", D45 ,"",""
Preeclampsia,"", O142 | O149 | O140 | O141 ,"",""
Pregnancy Loss, O359XX0 | Q950 | Q951 | Q958 | Q959 , O0021 | O3110X0 | N96 | O2620 | 6299 | O2621 | O2622 | O2623 | Z31441 ,"", 632 | V2635 | 62981 | 6463 | 64631 | 64633 | 6473 
