phenotype,ICD10_control_exclude,ICD10_case_include,ICD9_control_exclude,ICD9_case_include
Primary open angle glaucoma (POAG), G453 | H17 | H170 | H171 | H178 | H179 | H18 | H180 | H181 | H182 | H183 | H184 | H185 | H186 | H187 | H188 | H189 | H192 | H31 | H310 | H311 | H312 | H313 | H314 | H318 | H319 | H32 | H320 | H328 | H33 | H330 | H331 | H332 | H333 | H334 | H335 | H34 | H340 | H341 | H342 | H348 | H349 | H35 | H350 | H351 | H352 | H353 | H354 | H355 | H356 | H357 | H358 | H359 | H36 | H40 | H400 | H402 | H403 | H404 | H405 | H406 | H408 | H409 | H42 | H420 | H428 | H44 | H442 | H443 | H444 | H445 | H448 | H449 | Z947 | H401290 | H40133 | H4010X4 | H4010X2 | H4015 | H40023 | H401223 | H401391 | H40131 | H401333 | H401324 | H40012 | H40021 | H401334 | H4010 | H40129 | H401 | H401212 | H40122 | H401224 | H4010X3 | H401234 | H4012 | H40029 | H401231 | H401312 | H401232 | H40123 | H401321 | H401230 | H4010X0 | H40019 | H401393 | H401392 | H401214 | H40139 | H401213 | H401394 | H401221 | H40022 | H401331 | H40132 | H401390 | H401291 | H401314 | H401322 | H4001 | H401211 | H40011 | H401313 | H401323 | H401293 | H40013 | H401220 | H401310 | H401233 | H40152 | H401311 | H401320 | H401292 | H401332 | H401210 | H40121 | H40153 | H401294 | H4002 | H40151 | H4010X1 | H401222 | H401330 | H4013 | H40159 | H35371 | H3537 | H35379 | H35373 | H35372 | Z947 | H401421 | H401493 | H401424 | H401423 | H401420 | H401413 | H4014 | H401491 | H40143 | H401410 | H401412 | H40149 | H401431 | H401432 | H401494 | H401490 | H401414 | H401433 | H401434 | H401492 | H401411 | H401422 | H401430 | H40141 | H40142 | H442E9 | H442B3 | H442B1 | H442C9 | H442B9 | H442D1 | H442E | H442C1 | H442 | H442E1 | H442C2 | H442D | H4421 | H442A3 | H442D3 | H442A9 | H442E2 | H4423 | H442C3 | H4420 | H442A | H442A1 | H442E3 | H4422 | H442C | H442D9 | H442B2 | H442B | H442D2 | H442A2 | H4030X1 | H4032X0 | H4053X2 | H4031 | H4052X0 | H4063 | H4042X0 | H4033 | H40051 | H40832 | H4040X2 | H409 | H4033X0 | H40041 | H40813 | H40829 | H40063 | H4041X3 | H4060X0 | H4053X0 | H4060X4 | H4042X3 | H4051X0 | H4031X2 | H40062 | H4040X4 | H4032 | H4043X0 | H4031X1 | H40002 | H4052 | H4060 | H4082 | H4030X4 | H40049 | H4031X3 | H4042 | H40009 | H4060X1 | H4053X1 | H40812 | H4033X4 | H4050X3 | H40059 | H4030X3 | H4061X1 | H4031X4 | H406 | H4052X3 | H4061 | H40831 | H40821 | H4052X4 | H4062 | H4050 | H4040X3 | H4050X0 | H4061X4 | H4032X3 | H40811 | H40833 | H4043X3 | H4042X2 | H4063X0 | H4041X2 | H4030 | H4040 | H4041X1 | H4032X2 | H4033X2 | H4006 | H4061X2 | H4053X3 | H4043X4 | H40822 | H4089 | H408 | H4033X1 | H4000 | H4053 | H4062X4 | H400 | H4050X4 | H4051 | H4050X1 | H40001 | H40003 | H4041X0 | H4060X3 | H40839 | H4051X2 | H404 | H4063X1 | H4043X2 | H4062X1 | H4061X0 | H4060X2 | H4033X3 | H4063X4 | H4052X1 | H4063X3 | H40 | H4051X4 | H40053 | H4051X3 | H4042X1 | H4081 | H4051X1 | H4040X0 | H4062X0 | H4083 | H4004 | H405 | H4030X2 | H4062X2 | H40061 | H4050X2 | H40823 | H40042 | H403 | H4063X2 | H40069 | H4005 | H4032X1 | H4030X0 | H4053X4 | H4041X4 | H4041 | H40052 | H4042X4 | H42 | H40043 | H4043X1 | H4043 | H4040X1 | H4061X3 | H4031X0 | H4052X2 | H4032X4 | H40819 | H4062X3 | H3538 | H35382 | H35389 | H35381 | H35383 | H1851 | H3500 | H3520 | H35033 | H35029 | H3521 | H35021 | H35031 | H35022 | H3502 | H35039 | H35032 | H352 | H3503 | H3523 | H3522 | H3507 | H35023 | H31 | H3142 | H31312 | H3132 | H31402 | H3141 | H31329 | H31422 | H31313 | H318 | H319 | H31322 | H3140 | H31411 | H31429 | H3131 | H31401 | H31419 | H31309 | H31413 | H31409 | H31302 | H31403 | H31423 | H31421 | H31311 | H31319 | H31321 | H314 | H313 | H31412 | H32 | H31323 | H31303 | H31301 | H3130 | H3530 | H353 | H31093 | H3100 | H31092 | H31009 | H31001 | H31022 | H3102 | H31002 | H31011 | H31029 | H31019 | H31003 | H310 | H31099 | H31013 | H3101 | H31012 | H3109 | H31023 | H31091 | H31021 | H33101 | H33109 | H33191 | H33111 | H33112 | H33119 | H33102 | H33113 | H33192 | H3319 | H33193 | H33103 | H3310 | H3311 | H331 | H33199 | H443 | H4452 | H4481 | H44811 | H44322 | H44829 | H44523 | H44522 | H02734 | H0273 | H4482 | H44311 | H44533 | H44813 | H02732 | H44819 | H44823 | H02733 | H44399 | H44822 | H44532 | H02739 | H02735 | H44321 | H44821 | H44812 | H449 | H4432 | H4453 | H445 | H44393 | H44392 | H02736 | H44521 | H448 | H02731 | H44313 | H4431 | H4489 | H4450 | H44531 | H44529 | H4439 | H44391 | H44539 | H44323 | H44312 | H4430 | H44319 | H44329 | H3516 | H35101 | H35129 | H3513 | H35109 | H35153 | H35179 | H35151 | H35133 | H35119 | H35139 | H35163 | H35152 | H35121 | H35159 | H35161 | H35169 | H35103 | H35142 | H35162 | H35113 | H351 | H35172 | H35141 | H3514 | H35143 | H35102 | H35123 | H3515 | H35131 | H35111 | H35173 | H3512 | H35112 | H3511 | H3517 | H35122 | H35171 | H35132 | H35149 | H3510 | H3570 | H35729 | H35713 | H35719 | H357 | H3572 | H35739 | H332 | H35711 | H3571 | H35732 | H35712 | H35731 | H35733 | H35722 | H35723 | H35721 | H3573 | H3340 | H33302 | H33309 | H3343 | H3330 | H3332 | H338 | H334 | H33339 | H333 | H33319 | H3331 | H33312 | H3323 | H33322 | H3341 | H3322 | H33333 | H33313 | H33311 | H33332 | H33331 | H33323 | H33303 | H33301 | H33321 | H3321 | H3342 | H33329 | H3333 | H3320 | H3545 | H3544 | H35429 | H35449 | H35451 | H35413 | H35452 | H35463 | H3546 | H35443 | H35412 | H3540 | H35421 | H35433 | H35461 | H35469 | H3542 | H35441 | H35459 | H35453 | H35432 | H35423 | H3543 | H35422 | H35411 | H354 | H3541 | H35462 | H35419 | H35439 | H35442 | H35431 | H3562 | H3561 | H356 | H3560 | H3582 | H3563 | H18429 | H1883 | H1845 | H184 | H18441 | H18421 | H18463 | H1846 | H1844 | H18462 | H1842 | H18411 | H1849 | H18452 | H18419 | H18423 | H18459 | H18412 | H1841 | H18413 | H1843 | H18469 | H18422 | H18832 | H18461 | H18449 | H18831 | H18839 | H1840 | H18451 | H18453 | H18442 | H18833 | H18443 | H1823 | H18231 | H18229 | H18221 | H18233 | H18239 | H18223 | H1820 | H18222 | H1822 | H181 | H1810 | H18232 | H1812 | H1813 | H1811 | H3111 | H3552 | H3550 | H3554 | H355 | H3551 | H3553 | H36 | H35362 | H3536 | H35363 | H35361 | H35369 | H402230 | H40033 | H402223 | H402291 | H40229 | H40241 | H4003 | H402232 | H402220 | H402222 | H402212 | H402224 | H40239 | H4023 | H402231 | H4020X1 | H40219 | H40222 | H40233 | H40223 | H40031 | H40231 | H4021 | H402214 | H40032 | H4020X3 | H402294 | H402210 | H40232 | H402213 | H402211 | H40249 | H4022 | H4020X4 | H40242 | H40243 | H402290 | H4020X2 | H402221 | H402233 | H402 | H402293 | H40212 | H4020X0 | H4024 | H4020 | H40213 | H40221 | H40039 | H402292 | H40211 | H402234 | H1861 | H1862 | H186 | H18603 | H18601 | H18611 | H18619 | H18613 | H18602 | H18609 | H18612 | H18623 | H18621 | H1860 | H18622 | H18629 | H353222 | H353213 | H35322 | H353230 | H353220 | H35323 | H353211 | H353232 | H353233 | H353212 | H35329 | H353291 | H35321 | H353293 | H353221 | H353290 | H3532 | H353210 | H353231 | H353223 | H353292 | H18732 | H18819 | H18723 | H18043 | H18069 | H18813 | H1871 | H18823 | H18791 | H18731 | H18821 | H189 | H18899 | H1832 | H1833 | H1873 | H18039 | H18822 | H1805 | H1881 | H1830 | H18793 | H18022 | H18053 | H18009 | H18029 | H18711 | H18722 | H1803 | H18052 | H18003 | H1800 | H18332 | H18739 | H18313 | H18812 | H18012 | H1821 | H18891 | H18002 | H1802 | H18331 | H18792 | H18059 | H18712 | H18019 | H18049 | H18212 | H18893 | H18219 | H180 | H18041 | H18322 | H18051 | H1879 | H1882 | H18031 | H18321 | H18 | H18811 | H18323 | H1870 | H18729 | H18721 | H18062 | H18032 | H18892 | H1804 | H18211 | H18719 | H18213 | H1801 | H18001 | H18713 | H18329 | H18013 | H183 | H18319 | H18333 | H18061 | H18042 | H1889 | H1806 | H18339 | H18011 | H18733 | H18829 | H187 | H18021 | H18033 | H18311 | H1872 | H18312 | H18063 | H18799 | H18023 | H1831 | H3581 | H1853 | H1859 | H1850 | H1855 | H185 | H1854 | H1852 | H353192 | H35311 | H353130 | H353122 | H353121 | H353120 | H353134 | H353111 | H353190 | H3531 | H35312 | H353114 | H353113 | H353191 | H353131 | H353132 | H35313 | H353112 | H353193 | H353133 | H353194 | H35319 | H353110 | H353124 | H353123 | H179 | H1712 | H17 | H1781 | H17823 | H1789 | H17813 | H1703 | H17829 | H171 | H17811 | H17822 | H178 | H1700 | H1782 | H17821 | H1713 | H170 | H1701 | H17819 | H1711 | H1702 | H1710 | H17812 | H33051 | H3305 | H33029 | H33041 | H33053 | H33031 | H3301 | H33019 | H33033 | H33059 | H3303 | H33013 | H33012 | H33049 | H33003 | H33002 | H33042 | H33039 | H33043 | H33052 | H33023 | H3300 | H33011 | H33001 | H3302 | H33022 | H330 | H3304 | H33009 | H33032 | H33021 | H34213 | H34822 | H34219 | H35041 | H348312 | H3423 | H348390 | H3505 | H348110 | H348132 | H35059 | H34839 | H3509 | H34211 | H3411 | H35061 | H34812 | H348330 | H34231 | H35042 | H35013 | H35011 | H35012 | H348131 | H35063 | H3402 | G453 | H34212 | H348311 | H348331 | H35079 | H348130 | H342 | H348122 | H348332 | H3483 | H3504 | H34832 | H35072 | H3410 | H34811 | H348322 | H3412 | H348392 | H348120 | H3501 | H3413 | H348191 | H35043 | H34829 | H34233 | H35052 | H34819 | H348321 | H3403 | H348391 | H35073 | H349 | H3482 | H35062 | H34823 | H34833 | H34239 | H34232 | H348320 | H348121 | H34821 | H348111 | H3400 | H340 | H348190 | H348310 | H35049 | H35051 | H3481 | H34 | H3506 | H34831 | H348 | H34813 | H341 | H35053 | H348192 | H35069 | H3421 | H35071 | H348112 | H3401 | H35019 | H44441 | H4442 | H44432 | H44449 | H44433 | H4441 | H44423 | H4444 | H44431 | H4443 | H44443 | H44442 | H44411 | H44421 | H44511 | H44419 | H444 | H44512 | H44429 | H44439 | H44413 | H44519 | H44422 | H4451 | H44412 | H4440 | H44513 | H35353 | H35351 | H35341 | H35359 | H3534 | H35349 | H3535 | H35342 | H35343 | H35352 | H35 | H359 | H3589 | H3123 | H31121 | H311 | H31113 | H3129 | H3121 | H3120 | H3110 | H31102 | H31103 | H3112 | H312 | H31123 | H31101 | H31119 | H31112 | H31111 | H3533 | H31129 | H31122 | H3122 | H31109 , H401 | H401132 | H401123 | H401133 | H40119 | H4011 | H401130 | H401193 | H401131 | H401110 | H401112 | H401121 | H401192 | H401134 | H401111 | H401190 | H40112 | H40111 | H40113 | H401191 | H401113 | H401120 | H401194 | H401114 | H401124 | H401122 , 360 | 3602 | 36020 | 36021 | 36023 | 36024 | 36029 | 3603 | 36030 | 36031 | 36032 | 36033 | 36034 | 3604 | 36040 | 36041 | 36042 | 36043 | 36044 | 3608 | 36081 | 36089 | 3609 | 361 | 3610 | 36100 | 36101 | 36102 | 36103 | 36104 | 36105 | 36106 | 36107 | 3611 | 36110 | 36111 | 36112 | 36113 | 36114 | 36119 | 3612 | 3613 | 36130 | 36131 | 36132 | 36133 | 3618 | 36181 | 36189 | 3619 | 362 | 3621 | 36210 | 36211 | 36212 | 36213 | 36214 | 36215 | 36216 | 36217 | 36218 | 3622 | 36220 | 36221 | 36222 | 36223 | 36224 | 36225 | 36226 | 36227 | 36229 | 3623 | 36230 | 36231 | 36232 | 36233 | 36234 | 36235 | 36236 | 36237 | 3624 | 36240 | 36241 | 36242 | 36243 | 3625 | 36250 | 36251 | 36252 | 36253 | 36254 | 36255 | 36256 | 36257 | 3626 | 36260 | 36261 | 36262 | 36263 | 36264 | 36265 | 36266 | 3627 | 36270 | 36271 | 36272 | 36273 | 36274 | 36275 | 36276 | 36277 | 3628 | 36281 | 36282 | 36283 | 36284 | 36285 | 36289 | 3629 | 363 | 3633 | 36330 | 36331 | 36332 | 36333 | 36334 | 36335 | 3634 | 36340 | 36341 | 36342 | 36343 | 3635 | 36350 | 36351 | 36352 | 36353 | 36354 | 36355 | 36356 | 36357 | 3636 | 36361 | 36362 | 36363 | 3637 | 36370 | 36371 | 36372 | 3638 | 3639 | 365 | 3650 | 36500 | 36501 | 36502 | 36503 | 36504 | 36505 | 36506 | 3651 | 36510 | 36512 | 36513 | 36514 | 36515 | 3652 | 36520 | 36521 | 36522 | 36523 | 36524 | 3653 | 36531 | 36532 | 3654 | 36541 | 36542 | 36543 | 36544 | 3655 | 36551 | 36552 | 36559 | 3656 | 36560 | 36561 | 36562 | 36563 | 36564 | 36565 | 3657 | 36570 | 36571 | 36572 | 36573 | 36574 | 3658 | 36581 | 36582 | 36583 | 36589 | 3659 | 371 | 3710 | 37100 | 37101 | 37102 | 37103 | 37104 | 37105 | 3711 | 37110 | 37111 | 37112 | 37113 | 37114 | 37115 | 37116 | 3712 | 37120 | 37121 | 37122 | 37123 | 3713 | 37130 | 37131 | 37132 | 37133 | 3714 | 37140 | 37141 | 37142 | 37143 | 37144 | 37145 | 37146 | 37148 | 37149 | 3715 | 37150 | 37151 | 37152 | 37153 | 37154 | 37155 | 37156 | 37157 | 37158 | 3716 | 37160 | 37161 | 37162 | 3717 | 37170 | 37171 | 37172 | 37173 | 3718 | 37181 | 37182 | 37189 | 3719 | 37453 | V425 , 36511 
Primary Sjögren syndrome,"", M350 ,"",""
Prolactinoma,"", D352 | E221 ,"",""
Psoriasis,"", L40 | L400 | L401 | L402 | L403 | L404 | L405 | L408 | L409 | L41 | L410 | L411 | L412 | L413 | L414 | L415 | L418 | L419 ,"", 696 | 6960 | 6961 | 6962 | 6963 | 6964 | 6965 | 6968 
